,WT,mgat4a/4b/5,mgat4b,mgat5,mgat1,mgat2/4a/4b/5/st3gal4/6,b4galt1/2,b4galt1,b4galt2,b4galt3,b4galt4,mgat2,fut8,b3gnt2/mgat4a/4b/5,mgat4a/4b,st3gal4/6,st3gal6,b4galt1/3,st3gal4
20,0.9999999999999999,1.0,1.0,0.977234650635656,0.0,0.0,0.5721793867839287,0.5789686552072799,0.9752874348513537,0.9825631686774415,0.994504579517069,0.0,0.0,0.9863818424566086,1.0,1.0,0.7422348326796295,0.07452487170891461,1.0
21,0.902556869335574,0.0,0.9437706329840678,0.6601951315659801,0.0,0.0,0.8711975182217939,0.7661182093942457,0.8335903492162643,0.8864784885044389,0.9338467943380515,0.0,0.0,0.0,0.8444961877368397,0.9471889055472265,0.6319786364015689,0.5857036024652518,0.875293536027685
22,0.902556869335574,0.0,0.9437706329840678,0.6601951315659801,0.0,0.0,0.38848563339557846,0.2895670557955694,0.7957797341349627,0.8575460960619167,0.9283513738551206,0.4566,0.918876126320638,0.0,0.8444961877368397,0.9152173913043479,0.3603438204122507,0.020913380953608913,0.8513162773451983
23,0.902556869335574,0.0,0.9437706329840678,0.6601951315659801,0.0,0.0,0.5721793867839287,0.4234396543799982,0.8099904351051163,0.8643751422717961,0.9283513738551206,0.0,0.918876126320638,0.0,0.8444961877368397,0.9471889055472265,0.4123174497204373,0.07452487170891461,0.875293536027685
24,0.9999999999999999,1.0,1.0,0.977234650635656,0.0,0.0,0.13774772604059993,0.28100009192021325,0.9429619941829823,0.9489870248122013,0.9831390507910074,0.0,1.0,0.9863818424566086,1.0,0.9621814092953525,0.5529667028290078,0.003842285773227778,1.0
25,0.902556869335574,0.0,0.9437706329840678,0.6601951315659801,0.0,0.0,0.5721793867839287,0.42354995863590406,0.8044467001112652,0.8541998634190758,0.9283513738551206,0.0,0.918876126320638,0.0,0.8444961877368397,0.9471889055472265,0.49570224484686637,0.048479847340055185,0.875293536027685
26,0.7339295360422543,0.0,0.0,0.0,0.0,0.0,0.7206041804710559,0.36871035940803387,0.5348923461320737,0.6247666742544958,0.7707327227310574,0.0,0.5952154762932895,0.0,0.0,0.7612068965517241,0.2076107819410832,0.3017870496918435,0.6591686235735179
27,0.052037692815557285,0.0,0.3475312186019808,0.0,0.0,0.537272906793049,0.0007680260225287632,0.015497747954775255,0.047258388803216936,0.08795811518324609,0.11165695253955037,0.0,0.0,0.0,0.18116239784504407,0.31371814092953526,0.02560293749478428,0.0,0.14979606970708192
28,0.052037692815557285,0.0,0.3475312186019808,0.0,0.0,0.537272906793049,0.0007680260225287632,0.015497747954775255,0.047258388803216936,0.08795811518324609,0.11165695253955037,0.0,0.09557532314247057,0.0,0.18116239784504407,0.30078710644677664,0.02560293749478428,0.0,0.14979606970708192
29,0.052037692815557285,0.0,0.3475312186019808,0.0,0.0,0.0,0.0007680260225287632,0.015497747954775255,0.047258388803216936,0.08795811518324609,0.11165695253955037,0.0,0.09557532314247057,0.0,0.18116239784504407,0.31371814092953526,0.02560293749478428,0.0,0.14979606970708192
30,0.052037692815557285,0.0,0.3475312186019808,0.0,0.0,0.0,0.0007680260225287632,0.015497747954775255,0.047258388803216936,0.08795811518324609,0.11165695253955037,0.0,0.09557532314247057,0.0,0.18116239784504407,0.31371814092953526,0.02560293749478428,0.0,0.14979606970708192
31,0.902556869335574,0.0,0.887864217023109,0.6268355178870603,0.0,0.0,0.4560869827118847,0.3558047614670466,0.7564270237560757,0.8225813794673346,0.9283513738551206,0.4566,0.0,0.0,0.8444961877368397,0.0,0.11646499207210213,0.07452487170891461,0.05528776830222881
32,0.9849648880619409,0.972811230144071,0.9440935840390412,0.9348575933773529,0.0,0.0,0.4560869827118847,0.4400955970217851,0.9337875031720315,0.9580924197587072,0.994504579517069,0.0,0.0,0.9522696929238984,0.967584349175912,0.0,0.15959275640490697,0.07452487170891461,0.05528776830222881
