,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
335,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.4054671477895174,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.5721793867839288,0.04847984734005519,0.6610714332006896,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.3954051408849738,0.8940253777976153,0.9426676432291666,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.2717678100263852,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.0
336,0.05687670154492079,0.02726095148374941,0.06602867409014906,0.011099638616417138,0.0,0.011863658783520678,0.04774242970439798,0.08631595387458678,0.05370298565335402,0.0007680260225287632,0.0,0.036798921567356674,0.0,0.0202011481849182,0.12909351789331533,0.02457116365322206,0.3428553210482689,0.28466796875000006,0.034140809026667045,0.0,0.0,0.0,0.054343914201396386,0.06303391617288887,0.487651077246453,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.017118676668590113,0.0,0.0,0.0
338,0.05687670154492079,0.02726095148374941,0.0,0.0,0.0,0.011863658783520678,0.04774242970439798,0.08631595387458678,0.05370298565335402,0.0007680260225287632,0.0,0.036798921567356674,0.0,0.0202011481849182,0.12909351789331533,0.02457116365322206,0.3428553210482689,0.28466796875000006,0.034140809026667045,0.0,0.0,0.0,0.054343914201396386,0.06303391617288887,0.0,0.0,0.0,0.0,0.05784110932352716,0.0,0.0,0.0,0.0,0.09562739284377789
339,0.05687670154492079,0.02726095148374941,0.06602867409014906,0.011099638616417138,0.0,0.011863658783520678,0.04774242970439798,0.08631595387458678,0.05370298565335402,0.0007680260225287632,0.0,0.036798921567356674,0.0,0.0202011481849182,0.12909351789331533,0.02457116365322206,0.3428553210482689,0.28466796875000006,0.034140809026667045,0.0,0.0,0.0,0.054343914201396386,0.06303391617288887,0.0,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.0,0.0,0.0,0.09562739284377789
340,0.8021779774986061,0.7391957136128121,0.0,0.0,0.0,0.3543781314088419,0.5521359048305696,0.6448707603404744,0.7520356727413726,0.5721793867839288,0.04847984734005519,0.32863679373679505,0.7238865474427612,0.5484525402512195,0.6508693450371371,0.18480743144628162,0.7131607473060001,0.7407633463541666,0.3555122575391863,0.0,0.0,0.0,0.6809184481393507,0.6959176996619288,0.0,0.2717678100263852,0.6625818237174608,0.0,0.7247376082126715,0.0,0.0,0.0,0.0,0.0
342,0.9835667661626268,0.9713259538389072,0.9221601622256218,0.9683531233866803,0.9734315211898058,0.3465901715947146,0.9847242249459266,1.0000000000000002,1.0,0.45608698271188475,0.07452487170891461,0.7391670663262,1.0,0.9263607717874565,0.05156988521269413,0.1641855114270505,0.031116495568449917,0.0,0.9182249105766711,0.9522696929238985,0.0,0.955607476635514,0.9819693370762254,1.0,0.0,0.4762532981530343,0.9809331709544832,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
343,0.8934955882835308,0.846767545925577,0.9221601622256218,0.6678368611254517,0.0,0.3465901715947146,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.45608698271188475,0.07452487170891461,0.458048710935981,0.9406538330105936,0.6743859800578409,0.05156988521269413,0.11981661773038679,0.031116495568449917,0.0,0.4406025532904877,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.9686459975477317,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.11322690260947617,0.0,0.0,0.0
350,0.04952930757371995,0.02726095148374941,0.05973175851150877,0.011099638616417138,0.022814237239188507,0.011863658783520678,0.04630046863734679,0.08303615586849572,0.048468398604110126,0.0007680260225287632,0.0,0.036798921567356674,0.0,0.0202011481849182,0.020594193112761647,0.010851834681227352,0.04256200981954983,0.0,0.028993514991130363,0.0,0.0,0.0,0.054343914201396386,0.054891126540404955,0.487651077246453,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.0,0.045167600248955275,0.04172376317157303,0.07602406517170902
398,0.8934955882835308,0.846767545925577,0.9221601622256218,0.6678368611254517,0.0,0.2951117572233327,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.3550990904162399,0.020913380953608913,0.458048710935981,0.9406538330105936,0.6743859800578409,0.05156988521269413,0.11981661773038679,0.031116495568449917,0.0,0.4406025532904877,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
399,0.7706563453275168,0.7342498822421102,0.42178661638621084,0.8998451213216313,0.7219695328857122,0.2087692427507074,0.7917042177361212,0.7956633781919464,1.0,0.06999578338654297,0.0038422857732277782,0.27768344372577736,0.8546151801647872,0.5157120041438252,0.0,0.03688250141657651,0.0,0.0,0.4755285427632535,0.6675567423230975,0.0,0.9345794392523364,0.9395378967825522,0.9571412992111673,0.0,0.0,0.9360633277515604,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.9188807967989866
400,0.8934955882835308,0.846767545925577,0.42178661638621084,0.6678368611254517,0.0,0.2087692427507074,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.13774772604059995,0.0038422857732277782,0.5789187157318955,0.9761552188935718,0.7548236716018475,0.05156988521269413,0.1641855114270505,0.031116495568449917,0.0,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
401,0.8934955882835308,0.846767545925577,0.9221601622256218,0.6678368611254517,0.0,0.2087692427507074,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.13774772604059995,0.0038422857732277782,0.458048710935981,0.9406538330105936,0.6743859800578409,0.05156988521269413,0.11981661773038679,0.031116495568449917,0.0,0.4406025532904877,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
402,0.8021779774986061,0.7391957136128121,0.6950087160695864,0.5162622612287041,0.0,0.2563017574829314,0.6609589041095891,0.6957336595777911,0.9037902287708415,0.24679236190590925,0.020913380953608913,0.26373640617506383,0.8583361810380834,0.5484525402512195,0.0,0.04847267295111521,0.0,0.0,0.2088289179050222,0.0,0.0,0.0,0.7829482473187935,0.7989748809480534,0.2744788929760028,0.0,0.7704749581367027,0.16495985104154545,0.8333333333333334,0.0,0.031352183112136944,0.0,0.0,0.8349981289041134
414,0.8021779774986061,0.7391957136128121,0.0,0.0,0.0,0.24402274084265724,0.5521359048305696,0.6448707603404744,0.7520356727413726,0.3884856333955785,0.014956548647463833,0.32863679373679505,0.7238865474427612,0.5484525402512195,0.6508693450371371,0.18480743144628162,0.7131607473060001,0.7407633463541666,0.3555122575391863,0.0,0.0,0.0,0.6809184481393507,0.6959176996619288,0.0,0.0,0.6625818237174608,0.0,0.7247376082126715,0.0,0.0,0.0,0.0,0.5952387806212037
