,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
51,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
77,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999999999999,1.0
84,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.4817187725805675,1.0,1.0,0.9999999999999999,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9482634038248472,0.0,0.0,0.0,0.0
104,1.0,1.0,0.9999999999999999,1.0,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,0.5721793867839288,0.07452487170891461,0.9605438826167547,1.0,1.0000000000000002,1.0,0.7348168752897545,1.0,1.0,0.9182249105766717,0.9863818424566089,0.9895156873484078,0.9856074766355141,1.0000000000000002,1.0,1.0,0.4762532981530343,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999999999999,1.0
114,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.7963967705926639,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.8711975182217939,0.5857036024652518,0.703197708330633,0.9761552188935718,0.7548236716018475,0.8722569209993247,0.6213877298717355,0.8940253777976153,0.9426676432291667,0.6309942710908193,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,1.0,1.0,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.26351221388728596,0.0,0.0,0.9188807967989867
115,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.8348332860568866,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9882724634694967,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
120,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.8348332860568866,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9882724634694967,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4817187725805675,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4817187725805675,0.0,0.0,0.0,0.0
149,0.9835667661626268,0.9713259538389072,0.9221601622256217,0.9683531233866804,0.9734315211898058,0.3465901715947146,0.9847242249459263,1.0000000000000002,1.0,0.45608698271188475,0.07452487170891461,0.7391670663262,1.0,0.9263607717874565,0.05156988521269413,0.1641855114270506,0.031116495568449917,0.0,0.9182249105766717,0.9522696929238985,0.0,0.9856074766355141,0.9819693370762255,1.0,1.0,0.4762532981530343,0.9809331709544833,1.0,1.0,0.0,0.20856574982368403,0.8891259891526629,0.0,1.0
150,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.4054671477895174,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.5721793867839288,0.07452487170891461,0.6610714332006897,0.9761552188935718,0.7548236716018475,0.8722569209993247,0.395405140884974,0.8940253777976153,0.9426676432291667,0.5939744670951232,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,1.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.26351221388728596,0.0,0.0,0.9188807967989867
151,1.0,1.0,0.9999999999999999,1.0,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,0.5721793867839288,0.07452487170891461,0.9605438826167547,1.0,1.0000000000000002,1.0,0.7348168752897545,1.0,1.0,0.9182249105766717,0.9863818424566089,0.9895156873484078,0.9856074766355141,1.0000000000000002,1.0,0.0,0.4762532981530343,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
163,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.7963967705926639,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.8711975182217939,0.5857036024652518,0.703197708330633,0.9761552188935718,0.7548236716018475,0.8722569209993247,0.6213877298717355,0.8940253777976153,0.9426676432291667,0.6309942710908193,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,0.0,1.0,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.0,0.0,0.0,0.9188807967989867
167,1.0,1.0,0.9999999999999999,1.0,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,0.5721793867839288,0.07452487170891461,0.9605438826167547,1.0,1.0000000000000002,1.0,0.7348168752897545,1.0,1.0,0.9182249105766717,0.9863818424566089,0.9895156873484078,0.9856074766355141,1.0000000000000002,1.0,1.0,0.4762532981530343,1.0,1.0,1.0,0.0,0.3588510611014939,0.9342935894016182,0.6173037849076218,0.0
168,1.0,1.0,0.9999999999999999,1.0,1.0,0.7963967705926639,1.0,1.0000000000000002,1.0,0.8711975182217939,0.5857036024652518,0.9837457387652466,1.0,1.0000000000000002,1.0,0.875015024296434,1.0,1.0,0.9552447145723676,0.9863818424566089,0.9895156873484078,0.9856074766355141,1.0000000000000002,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
173,0.05687670154492079,0.027260951483749414,0.06602867409014905,0.01109963861641714,0.022814237239188507,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05370298565335402,0.0007680260225287634,0.0,0.036798921567356674,0.0,0.020201148184918204,0.1290935178933153,0.024571163653222074,0.3428553210482689,0.28466796875000006,0.03414080902666706,0.0,0.15867303027932084,0.0,0.05434391420139639,0.06303391617288888,0.48765107724645296,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.01711867666859011,0.04516760024895528,0.6173037849076218,0.09562739284377789
184,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.7963967705926639,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.8711975182217939,0.5857036024652518,0.703197708330633,0.9761552188935718,0.7548236716018475,0.8722569209993247,0.6213877298717355,0.8940253777976153,0.9426676432291667,0.6309942710908193,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,1.0,1.0,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.26351221388728596,0.0,0.0,0.0
211,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.2951117572233327,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.3884856333955785,0.02091338095360891,0.6403582677675668,0.9761552188935718,0.7548236716018475,0.8476958136394328,0.3419358162056354,0.875565899381496,0.907958984375,0.5939744670951232,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,0.9686459975477316,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.26351221388728596,0.0,0.0,0.9188807967989867
212,0.8934955882835307,0.846767545925577,0.9221601622256217,0.6678368611254518,0.0,0.3465901715947146,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.45608698271188475,0.07452487170891461,0.4580487109359811,0.9406538330105936,0.6743859800578411,0.05156988521269413,0.11981661773038686,0.031116495568449917,0.0,0.44060255329048775,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,1.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.11322690260947617,0.0,0.0,0.9188807967989867
213,0.9835667661626268,0.9713259538389072,0.9221601622256217,0.9683531233866804,0.9734315211898058,0.3465901715947146,0.9847242249459263,1.0000000000000002,1.0,0.45608698271188475,0.07452487170891461,0.7391670663262,1.0,0.9263607717874565,0.05156988521269413,0.1641855114270506,0.031116495568449917,0.0,0.9182249105766717,0.9522696929238985,0.0,0.9856074766355141,0.9819693370762255,1.0,0.0,0.4762532981530343,0.9809331709544833,1.0,1.0,0.0,0.0,0.0,0.0,1.0
214,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.4054671477895174,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.5721793867839288,0.07452487170891461,0.6610714332006897,0.9761552188935718,0.7548236716018475,0.8722569209993247,0.395405140884974,0.8940253777976153,0.9426676432291667,0.5939744670951232,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,0.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.0,0.0,0.0,0.9188807967989867
215,1.0,1.0,0.9999999999999999,1.0,1.0,0.20876924275070743,1.0,1.0000000000000002,1.0,0.13774772604059995,0.003842285773227778,0.9195582573980221,1.0,1.0000000000000002,1.0,0.5671113858411032,0.9906905566537014,0.9886474609375,0.9182249105766717,0.9863818424566089,0.9410844221891871,0.955607476635514,1.0000000000000002,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
216,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.4054671477895174,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.5721793867839288,0.048479847340055185,0.6799958521821412,0.9761552188935718,0.7548236716018475,0.8722569209993247,0.4811895808650561,0.8940253777976153,0.9426676432291667,0.5939744670951232,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,0.0,0.2717678100263852,0.8764271578626883,0.9088211334807401,0.9399754845629357,0.0,0.0,0.0,0.0,0.9188807967989867
226,0.802177977498606,0.739195713612812,0.0,0.0,0.0,0.4857090937410764,0.5521359048305694,0.6448707603404743,0.7520356727413726,0.720604180471056,0.3017870496918435,0.32863679373679505,0.7238865474427613,0.5484525402512195,0.6508693450371371,0.18480743144628173,0.7131607473060002,0.7407633463541666,0.35551225753918636,0.0,0.0,0.0,0.6809184481393509,0.6959176996619288,0.0,0.7955145118733509,0.6625818237174608,0.0,0.7247376082126714,0.0,0.0,0.0,0.0,0.5952387806212038
230,0.05687670154492079,0.027260951483749414,0.06602867409014905,0.01109963861641714,0.022814237239188507,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05370298565335402,0.0007680260225287634,0.0,0.036798921567356674,0.0,0.020201148184918204,0.1290935178933153,0.024571163653222074,0.3428553210482689,0.28466796875000006,0.03414080902666706,0.0,0.15867303027932084,0.0,0.05434391420139639,0.06303391617288888,0.48765107724645296,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.01711867666859011,0.04516760024895528,0.6173037849076218,0.0
231,1.0,1.0,0.9999999999999999,1.0,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,0.5721793867839288,0.07452487170891461,0.9384826763794738,1.0,1.0000000000000002,1.0,0.6528958258211853,0.9906905566537014,0.9886474609375,0.9182249105766717,0.9863818424566089,0.9410844221891871,0.9856074766355141,1.0000000000000002,1.0,0.0,0.4762532981530343,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
236,0.05687670154492079,0.027260951483749414,0.06602867409014905,0.01109963861641714,0.022814237239188507,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05370298565335402,0.0007680260225287634,0.0,0.036798921567356674,0.0,0.020201148184918204,0.1290935178933153,0.024571163653222074,0.3428553210482689,0.27062988281250006,0.03414080902666706,0.0,0.15867303027932084,0.0,0.05434391420139639,0.06303391617288888,0.48765107724645296,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.01711867666859011,0.04516760024895528,0.6173037849076218,0.09562739284377789
